movieId,userId,rating,movieAvgRating,userAvgRating,,,,
1,15555,3,3.91,3.5,,0.5,,0.91
1,22479,3,3.91,3,,0,,0.91
1,23727,3.5,3.91,3.5,,0,,0.41
1,2529,4.5,3.91,4.25,,0.25,,0.59
1,3289,5,3.91,3.75,,1.25,,1.09
1,3505,5,3.91,5,,0,,1.09
1,838,4.5,3.91,4.5,,0,,0.59
1,15303,5,3.91,5,,0,,1.09
1,25562,4,3.91,3.75,,0.25,,0.09
1,20269,5,3.91,4,,1,,1.09
1,19447,4,3.91,4.33,,0.33,,0.09
1,28966,5,3.91,5,,0,,1.09
1,26913,3,3.91,3,,0,,0.91
1,3364,5,3.91,5,,0,,1.09
1,715,5,3.91,5,,0,,1.09
1,9357,5,3.91,5,,0,,1.09
1,6533,5,3.91,4.25,,0.75,,1.09
1,23088,4,3.91,4.17,,0.17,,0.09
1,16144,4,3.91,4,,0,,0.09
1,10752,3,3.91,3,,0,,0.91
1,10141,4.5,3.91,4,,0.5,,0.59
1,3426,3,3.91,3,,0,,0.91
1,21263,3.5,3.91,4.38,,0.88,,0.41
1,12031,3.5,3.91,3.5,,0,,0.41
1,4149,3,3.91,3.25,,0.25,,0.91
1,20136,3,3.91,3,,0,,0.91
1,17464,5,3.91,5,,0,,1.09
1,16141,4,3.91,4,,0,,0.09
1,27454,3,3.91,3,,0,,0.91
1,17853,4,3.91,3.5,,0.5,,0.09
1,1891,4,3.91,4,,0,,0.09
1,21845,3,3.91,3.13,,0.13,,0.91
1,25999,3,3.91,3.5,,0.5,,0.91
1,21691,4,3.91,3.5,,0.5,,0.09
1,25206,4,3.91,4,,0,,0.09
1,26955,4,3.91,4,,0,,0.09
1,28173,4,3.91,4.28,,0.28,,0.09
1,1411,4,3.91,3.78,,0.22,,0.09
1,16404,4,3.91,4,,0,,0.09
1,5843,5,3.91,4.17,,0.83,,1.09
1,5854,3,3.91,3.5,,0.5,,0.91
1,10931,4,3.91,4.5,,0.5,,0.09
1,29890,4,3.91,4,,0,,0.09
1,24387,3,3.91,3,,0,,0.91
1,24251,4,3.91,4,,0,,0.09
1,25996,3.5,3.91,3.5,,0,,0.41
1,19960,4,3.91,4,,0,,0.09
1,27481,5,3.91,5,,0,,1.09
1,10353,4.5,3.91,4.25,,0.25,,0.59
1,15939,4,3.91,4,,0,,0.09
1,25050,4,3.91,4,,0,,0.09
1,27340,4.5,3.91,4.5,,0,,0.59
1,14210,4,3.91,4,,0,,0.09
