movieId,userId,rating,movieAvgRating,userAvgRating,,,,
1,15555,3,3.91,3.5,,0.91,,0.5
1,22479,3,3.91,3,,0.91,,0
1,23727,3.5,3.91,3.5,,0.41,,0
1,2529,4.5,3.91,4.25,,0.59,,0.25
1,3289,5,3.91,3.75,,1.09,,1.25
1,3505,5,3.91,5,,1.09,,0
1,838,4.5,3.91,4.5,,0.59,,0
1,15303,5,3.91,5,,1.09,,0
1,25562,4,3.91,3.75,,0.09,,0.25
1,20269,5,3.91,4,,1.09,,1
1,19447,4,3.91,4.33,,0.09,,0.33
1,28966,5,3.91,5,,1.09,,0
1,26913,3,3.91,3,,0.91,,0
1,3364,5,3.91,5,,1.09,,0
1,715,5,3.91,5,,1.09,,0
1,9357,5,3.91,5,,1.09,,0
1,6533,5,3.91,4.25,,1.09,,0.75
1,23088,4,3.91,4.17,,0.09,,0.17
1,16144,4,3.91,4,,0.09,,0
1,10752,3,3.91,3,,0.91,,0
1,10141,4.5,3.91,4,,0.59,,0.5
1,3426,3,3.91,3,,0.91,,0
1,21263,3.5,3.91,4.38,,0.41,,0.88
1,12031,3.5,3.91,3.5,,0.41,,0
1,4149,3,3.91,3.25,,0.91,,0.25
1,20136,3,3.91,3,,0.91,,0
1,17464,5,3.91,5,,1.09,,0
1,16141,4,3.91,4,,0.09,,0
1,14864,5,3.91,5,,1.09,,0
1,23091,4,3.91,3.72,,0.09,,0.28
1,27454,3,3.91,3,,0.91,,0
1,16235,0.5,3.91,0.5,,3.41,,0
1,17853,4,3.91,3.5,,0.09,,0.5
1,1891,4,3.91,4,,0.09,,0
1,21845,3,3.91,3.13,,0.91,,0.13
1,25999,3,3.91,3.5,,0.91,,0.5
1,21691,4,3.91,3.5,,0.09,,0.5
1,25206,4,3.91,4,,0.09,,0
1,26955,4,3.91,4,,0.09,,0
1,28173,4,3.91,4.28,,0.09,,0.28
1,1411,4,3.91,3.78,,0.09,,0.22
1,16404,4,3.91,4,,0.09,,0
1,5843,5,3.91,4.17,,1.09,,0.83
1,5854,3,3.91,3.5,,0.91,,0.5
1,10931,4,3.91,4.5,,0.09,,0.5
1,29890,4,3.91,4,,0.09,,0
1,24387,3,3.91,3,,0.91,,0
1,24251,4,3.91,4,,0.09,,0
1,25996,3.5,3.91,3.5,,0.41,,0
1,19960,4,3.91,4,,0.09,,0
1,27481,5,3.91,5,,1.09,,0
1,10353,4.5,3.91,4.25,,0.59,,0.25
1,15939,4,3.91,4,,0.09,,0
1,25050,4,3.91,4,,0.09,,0
1,27340,4.5,3.91,4.5,,0.59,,0
1,14210,4,3.91,4,,0.09,,0
