movieId,userId,rating,movieAvgRating,userAvgRating,,,,
2,9929,2.5,3.21,2.5,,0.71,,0
2,6388,2,3.21,2,,1.21,,0
2,24565,4,3.21,4,,0.79,,0
2,14836,4,3.21,4.5,,0.79,,0.5
2,6247,2.5,3.21,2.5,,0.71,,0
2,5332,4,3.21,3,,0.79,,1
2,13088,3,3.21,3,,0.21,,0
2,23428,5,3.21,5,,1.79,,0
2,17126,4,3.21,2.8,,0.79,,1.2
2,16332,2.5,3.21,2.5,,0.71,,0
2,10682,3,3.21,3,,0.21,,0
2,11357,4,3.21,3.62,,0.79,,0.38
2,15248,4,3.21,4,,0.79,,0
2,25464,3.5,3.21,3.67,,0.29,,0.17
2,9947,4,3.21,3,,0.79,,1
2,15593,3.5,3.21,3.5,,0.29,,0
2,18612,4,3.21,3.19,,0.79,,0.81
2,1098,5,3.21,5,,1.79,,0
2,18755,4,3.21,3.25,,0.79,,0.75
2,21466,3,3.21,2.67,,0.21,,0.33
2,2671,3,3.21,2.88,,0.21,,0.12
2,22310,5,3.21,3.5,,1.79,,1.5
2,17601,3.5,3.21,3.5,,0.29,,0
2,22929,3.5,3.21,2,,0.29,,1.5
2,24006,4,3.21,4,,0.79,,0
2,7296,4.5,3.21,4.5,,1.29,,0
2,4678,3,3.21,3,,0.21,,0
2,18319,3,3.21,3.25,,0.21,,0.25
2,7344,4,3.21,3.83,,0.79,,0.17
2,27387,3,3.21,3.33,,0.21,,0.33
2,4670,3,3.21,3,,0.21,,0
2,2650,3.5,3.21,3.5,,0.29,,0
2,24695,3,3.21,3.2,,0.21,,0.2
2,16972,3.5,3.21,2.25,,0.29,,1.25
2,2361,2.5,3.21,1.38,,0.71,,1.12
2,330,3,3.21,2.83,,0.21,,0.17
2,29716,2,3.21,2,,1.21,,0
2,7100,3.5,3.21,3.5,,0.29,,0
2,11885,3,3.21,2.67,,0.21,,0.33
2,637,3.5,3.21,2.17,,0.29,,1.33
2,18878,3,3.21,3,,0.21,,0
2,19852,2.5,3.21,2.5,,0.71,,0
2,19441,5,3.21,5,,1.79,,0
2,29064,5,3.21,4.5,,1.79,,0.5
2,20619,3.5,3.21,3.33,,0.29,,0.17
2,12452,5,3.21,4,,1.79,,1
2,24012,1,3.21,2,,2.21,,1
2,18386,4,3.21,3.33,,0.79,,0.67
2,27529,3.5,3.21,3.5,,0.29,,0
2,739,2.5,3.21,2.5,,0.71,,0
2,29869,4,3.21,4,,0.79,,0
2,3748,3.5,3.21,3.5,,0.29,,0
2,2396,4,3.21,4,,0.79,,0
2,20926,3,3.21,3,,0.21,,0
2,409,4,3.21,3.75,,0.79,,0.25
2,18004,1,3.21,1,,2.21,,0
2,11803,3,3.21,3,,0.21,,0
2,9945,3.5,3.21,3.5,,0.29,,0
2,4729,3,3.21,3,,0.21,,0
2,4256,3,3.21,3.24,,0.21,,0.24
2,7438,1,3.21,2.25,,2.21,,1.25
2,29313,4,3.21,3.19,,0.79,,0.81
2,3916,1,3.21,2.33,,2.21,,1.33
2,8626,2.5,3.21,2.67,,0.71,,0.17
2,24162,4.5,3.21,4.5,,1.29,,0
2,26857,4,3.21,4,,0.79,,0
2,26030,4,3.21,4,,0.79,,0
2,22848,3,3.21,3,,0.21,,0
2,16349,1.5,3.21,1.5,,1.71,,0
2,6254,3,3.21,1.67,,0.21,,1.33
2,10560,2,3.21,2.1,,1.21,,0.1
2,11066,5,3.21,3.4,,1.79,,1.6
2,3106,3.5,3.21,3.5,,0.29,,0
2,11434,4,3.21,3,,0.79,,1
2,435,3,3.21,3,,0.21,,0
2,13991,2,3.21,3.2,,1.21,,1.2
2,7172,3,3.21,2.67,,0.21,,0.33
2,20453,3.5,3.21,3.5,,0.29,,0
2,27324,3.5,3.21,4,,0.29,,0.5
2,22262,4,3.21,4,,0.79,,0
2,29023,3,3.21,2.75,,0.21,,0.25
2,19409,3,3.21,3.25,,0.21,,0.25
2,18438,3,3.21,2,,0.21,,1
2,11471,2,3.21,2,,1.21,,0
2,12754,3,3.21,3.46,,0.21,,0.46
2,18521,3,3.21,3,,0.21,,0
2,22697,4,3.21,4,,0.79,,0
2,16541,4,3.21,4,,0.79,,0
2,6965,3,3.21,3.5,,0.21,,0.5
2,24154,5,3.21,3.5,,1.79,,1.5
2,12064,3.5,3.21,2.17,,0.29,,1.33
2,20213,3.5,3.21,3.5,,0.29,,0
2,23357,1,3.21,1,,2.21,,0
2,15382,5,3.21,4,,1.79,,1
2,16676,2,3.21,2.21,,1.21,,0.21
2,24495,2,3.21,2,,1.21,,0
2,377,5,3.21,5,,1.79,,0
2,25704,4,3.21,4,,0.79,,0
2,23136,3,3.21,2.6,,0.21,,0.4
2,12213,3,3.21,3,,0.21,,0
2,8644,2,3.21,2.5,,1.21,,0.5
2,23440,3,3.21,3,,0.21,,0
2,12849,2.5,3.21,1.5,,0.71,,1
2,8190,4,3.21,3.5,,0.79,,0.5
2,4968,3,3.21,2.93,,0.21,,0.07
2,18222,3.5,3.21,3.5,,0.29,,0
2,28789,1.5,3.21,2.5,,1.71,,1
2,5289,4,3.21,4,,0.79,,0
2,2512,4,3.21,3.5,,0.79,,0.5
2,7189,3.5,3.21,3.5,,0.29,,0
2,12131,3,3.21,2.5,,0.21,,0.5
